assert_statement,final_result,comment
"assert (match_parens({""()("", "")""}) == ""Yes"");",unknown,error
"assert (match_parens({"")"", "")""}) == ""No"");",unknown,error
"assert (match_parens({""(()(())"", ""())())""}) == ""No"");",unknown,error
"assert (match_parens({"")())"", ""(()()(""}) == ""Yes"");",unknown,error
"assert (match_parens({""(())))"", ""(()())((""}) == ""Yes"");",unknown,error
"assert (match_parens({""()"", ""())""}) == ""No"");",unknown,error
"assert (match_parens({""(()("", ""()))()""}) == ""Yes"");",unknown,error
"assert (match_parens({""(((("", ""((())""}) == ""No"");",unknown,error
"assert (match_parens({"")(()"", ""(()(""}) == ""No"");",unknown,error
"assert (match_parens({"")("", "")(""}) == ""No"");",unknown,error
"assert (match_parens({""("", "")""}) == ""Yes"");",unknown,error
"assert (match_parens({"")"", ""(""}) == ""Yes"" );",unknown,error
