assert_statement,final_result,comment
"assert (int_to_mini_romank(19) == ""xix"");",unknown,fail to read
"assert (int_to_mini_romank(152) == ""clii"");",unknown,fail to read
"assert (int_to_mini_romank(251) == ""ccli"");",unknown,fail to read
"assert (int_to_mini_romank(426) == ""cdxxvi"");",unknown,fail to read
"assert (int_to_mini_romank(500) == ""d"");",unknown,fail to read
"assert (int_to_mini_romank(1) == ""i"");",unknown,fail to read
"assert (int_to_mini_romank(4) == ""iv"");",unknown,fail to read
"assert (int_to_mini_romank(43) == ""xliii"");",unknown,fail to read
"assert (int_to_mini_romank(90) == ""xc"");",unknown,fail to read
"assert (int_to_mini_romank(94) == ""xciv"");",unknown,fail to read
"assert (int_to_mini_romank(532) == ""dxxxii"");",unknown,fail to read
"assert (int_to_mini_romank(900) == ""cm"");",unknown,fail to read
"assert (int_to_mini_romank(994) == ""cmxciv"");",unknown,fail to read
"assert (int_to_mini_romank(1000) == ""m"");",unknown,fail to read
