Index,Golden,Gemma,GPT4,GPT35,MetaLlama
CPP_108,"There are 1 functions in the code:
function[1] takes vector<int> n as input. function[1] is counting the number of elements in the vector whose sum of digits is greater than 0 on n, and outputs an integer representing that count.","There is 1 function in the code:
function[1] takes 2 inputs: vector<int> numbers, float threshold.
function[1] is counting the number of elements in the vector that are less than 0 on numbers, threshold, and outputs an integer value.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is counting the number of elements in the vector that are greater than zero, and outputs an integer value representing that count.","There is 1 function in the code, function[1] takes 1 input: vector<float> numbers. Function[1] is counting the occurrences of specific numbers in the vector and outputs the count.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is counting the number of positive integers in the vector on numbers, and outputs an integer value representing the count."
CPP_120,"There are 1 functions in the code: function[1] takes 2 inputs: vector<int> arr, int k. function[1] is returning a sorted vector of length k with the maximum k numbers in arr on arr, k, and outputs a vector<int>.",,"There are 3 functions in the code: 
- function[1] takes 3 inputs: vector<int> numbers, vector<int> numbers, int size. function[1] is finding the maximum value from the given vector of integers, numbers, size, and outputs void.
- function[2] takes 2 inputs: vector<int> numbers, int size. function[2] is performing introsort on the given vector of integers, numbers, size, and outputs void.
- function[3] takes 2 inputs: vector<int> numbers, int size. function[3] is performing final insertion sort on the given vector of integers, numbers, size, and outputs void.",,
CPP_134,"There are 1 functions in the code: function[1] takes 1 input: string txt. function[1] is checking if the last character of the string is an alphabetical character and is not part of a word on txt, and outputs a boolean value indicating the result.","There is 1 function in the code:
function[1] takes 2 inputs: string str, float threshold.
function[1] is checking if the last character of the string is a letter on str, threshold, and outputs a boolean value indicating if the last character is a letter. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<string> input_string. function[1] is checking if the last character of the input string is a letter, and outputs a boolean value indicating whether it is a letter or not.","There is 1 function in the code, function[1] takes 1 input: class.std::__cxx11::basic_string str. Function[1] is checking if the last character of the input string is a letter and outputs a boolean value.","There is 1 function in the code, function[1] takes 1 input: string input_string. function[1] is checking if the last character of the input string is a letter on input_string, and outputs a boolean value indicating if it is a letter."
CPP_0,"There is 1 function in the code: function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist."
CPP_27,"There are 1 functions in the code: function[1] takes 1 inputs: string str. function[1] is flipping the case of characters in the string str, and outputs a string with lowercase characters converted to uppercase and uppercase characters converted to lowercase.",,"There are 1 functions in the code: function[1] takes 2 inputs: class std::basic_string str, class std::basic_string input. Function[1] is processing the input string to perform case transformation and outputs void.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_33,"There are 1 functions in the code: function[1] takes 1 inputs: vector<int> l. function[1] is sorting the values at the indices of the vector that are divisible by three while keeping the other values unchanged on l, and outputs a vector<int> containing the modified values.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<int> numbers, vector<int> other_numbers. Function[1] is sorting the elements of numbers based on the values in other_numbers, and outputs void.",,
CPP_32,"There are 2 functions in the code:
function[1] takes 2 inputs: vector<double> xs, double x. function[1] is evaluating a polynomial with coefficients xs at point x, and outputs a double value representing the result of the polynomial evaluation.
function[2] takes 1 input: vector<double> xs. function[2] is finding a zero point of the polynomial defined by coefficients xs, and outputs a double value representing the zero point of the polynomial.",,"There are 2 functions in the code: 
- function[1] takes 2 inputs: vector<double> numbers, double x. function[1] is calculating the polynomial value based on the elements in the vector and the input x, and outputs a double value representing the result of the polynomial evaluation.
- function[2] takes 1 input: vector<double> numbers. function[2] is finding the zero of the polynomial represented by the elements in the vector, and outputs a double value representing the zero found.","There are 2 functions in the code:
- Function[1] takes 2 inputs: vector<double> numbers, double x. Function[1] calculates a polynomial function on numbers and x, and outputs a double value.
- Function[2] takes 1 input: vector<double> numbers. Function[2] finds a zero in the vector by performing a series of mathematical operations on numbers, and outputs a double value.",
CPP_26,"There are 1 functions in the code:
function[1] takes 1 inputs: vector<int> numbers. function[1] is removing all elements that occur more than once from the input vector, numbers, and outputs a vector<int> containing the remaining elements in the same order as they appeared in the input.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<int> numbers, vector<int> input. function[1] is removing duplicates from the input vector and outputs a vector<int> containing the unique elements.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_1,"There are 1 functions in the code: function[1] takes 1 inputs: string paren_string. function[1] is separating groups of nested parentheses from the input string paren_string, and outputs a vector<string> containing those separated groups.",,"There are 1 functions in the code: function[1] takes 2 inputs: vector<std::__cxx11::basic_string> strings, std::__cxx11::basic_string str. Function[1] is separating parenthesis groups from the input string and outputs a vector of strings containing the separated groups.","There is 1 function in the code, function[1] takes 2 inputs: vector<float> numbers, float threshold. Function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist.",
CPP_135,"There are 1 functions in the code: function[1] takes 1 inputs: vector<int> arr. function[1] is returning the largest index of an element which is not greater than or equal to the element immediately preceding it on arr, and outputs an integer value indicating the largest index or -1 if no such element exists.","There is 1 function in the code:
function[1] takes 2 inputs: vector<int> numbers, int threshold.
function[1] is checking if any two elements in the vector are closer to each other than the given threshold on numbers, threshold, and outputs a boolean value indicating if such elements exist. 
<|im_end|>","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is checking if the elements in the vector can be arranged in a certain way based on their values, and outputs an integer indicating the result of this arrangement check.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. Function[1] is arranging the elements in the vector in a specific order and outputs an integer value.","There is 1 function in the code, function[1] takes 1 input: vector<int> numbers. function[1] is checking if the elements in the vector can be arranged in a specific order on numbers, and outputs an integer value indicating the result of the arrangement check."
