assert_statement,final_result,comment
"assert (issame(tri(3) , {1, 3, 2, 8}));",unknown,error
"assert (issame(tri(4) , {1, 3, 2, 8, 3}));",unknown,error
"assert (issame(tri(5) , {1, 3, 2, 8, 3, 15}));",unknown,error
"assert (issame(tri(6) , {1, 3, 2, 8, 3, 15, 4}));",unknown,error
"assert (issame(tri(7) , {1, 3, 2, 8, 3, 15, 4, 24}));",unknown,error
"assert (issame(tri(8) , {1, 3, 2, 8, 3, 15, 4, 24, 5}));",unknown,error
"assert (issame(tri(9) , {1, 3, 2, 8, 3, 15, 4, 24, 5, 35}));",unknown,error
"assert (issame(tri(20) , {1, 3, 2, 8, 3, 15, 4, 24, 5, 35, 6, 48, 7, 63, 8, 80, 9, 99, 10, 120, 11}));",unknown,error
"assert (issame(tri(0) , {1}));",unknown,error
"assert (issame(tri(1) , {1, 3}));",unknown,error
