CPP_number,Result
CPP_0,pass
CPP_1,partial pass
CPP_2,pass
CPP_3,pass
CPP_4,partial pass
CPP_5,partial pass
CPP_6,partial pass
CPP_7,partial pass
CPP_8,partial pass
CPP_9,partial pass
CPP_10,partial pass
CPP_11,pass
CPP_12,pass
CPP_13,pass
CPP_14,partial pass
CPP_15,partial pass
CPP_16,partial pass
CPP_17,partial pass
CPP_18,pass
CPP_19,partial pass
CPP_20,partial pass
CPP_21,partial pass
CPP_22,partial pass
CPP_23,pass
CPP_24,pass
CPP_25,partial pass
CPP_26,partial pass
CPP_27,partial pass
CPP_28,partial pass
CPP_29,partial pass
CPP_30,partial pass
CPP_31,pass
CPP_32,partial pass
CPP_33,partial pass
CPP_34,partial pass
CPP_35,pass
CPP_36,partial pass
CPP_37,partial pass
CPP_38,partial pass
CPP_39,partial pass
CPP_40,pass
CPP_41,pass
CPP_42,partial pass
CPP_43,pass
CPP_44,partial pass
CPP_45,pass
CPP_46,partial pass
CPP_47,partial pass
CPP_48,partial pass
CPP_49,partial pass
CPP_50,partial pass
CPP_51,partial pass
CPP_52,partial pass
CPP_53,pass
CPP_54,partial pass
CPP_55,pass
CPP_56,partial pass
CPP_57,partial pass
CPP_58,partial pass
CPP_59,pass
CPP_60,partial pass
CPP_61,partial pass
CPP_62,partial pass
CPP_63,partial pass
CPP_64,pass
CPP_65,partial pass
CPP_66,partial pass
CPP_67,partial pass
CPP_68,partial pass
CPP_69,partial pass
CPP_70,partial pass
CPP_71,pass
CPP_72,partial pass
CPP_73,partial pass
CPP_74,partial pass
CPP_75,partial pass
CPP_76,partial pass
CPP_77,pass
CPP_78,partial pass
CPP_79,partial pass
CPP_80,partial pass
CPP_81,partial pass
CPP_82,partial pass
CPP_83,pass
CPP_84,partial pass
CPP_85,partial pass
CPP_86,partial pass
CPP_87,partial pass
CPP_88,partial pass
CPP_89,partial pass
CPP_90,partial pass
CPP_91,partial pass
CPP_92,partial pass
CPP_93,partial pass
CPP_94,partial pass
CPP_95,partial pass
CPP_96,partial pass
CPP_97,pass
CPP_98,partial pass
CPP_99,pass
CPP_100,pass
CPP_101,partial pass
CPP_102,partial pass
CPP_103,partial pass
CPP_104,partial pass
CPP_105,partial pass
CPP_106,partial pass
CPP_107,partial pass
CPP_108,partial pass
CPP_109,partial pass
CPP_110,partial pass
CPP_111,partial pass
CPP_112,partial pass
CPP_113,partial pass
CPP_114,partial pass
CPP_115,partial pass
CPP_116,partial pass
CPP_117,partial pass
CPP_118,partial pass
CPP_119,partial pass
CPP_120,partial pass
CPP_121,partial pass
CPP_122,pass
CPP_123,partial pass
CPP_124,partial pass
CPP_125,partial pass
CPP_126,partial pass
CPP_127,partial pass
CPP_128,partial pass
CPP_129,partial pass
CPP_130,partial pass
CPP_131,partial pass
CPP_132,partial pass
CPP_133,partial pass
CPP_134,partial pass
CPP_135,partial pass
CPP_136,partial pass
CPP_137,partial pass
CPP_138,pass
CPP_139,partial pass
CPP_140,partial pass
CPP_141,partial pass
CPP_142,partial pass
CPP_143,partial pass
CPP_144,partial pass
CPP_145,partial pass
CPP_146,partial pass
CPP_147,partial pass
CPP_148,partial pass
CPP_149,partial pass
CPP_150,partial pass
CPP_151,partial pass
CPP_152,pass
CPP_153,partial pass
CPP_154,partial pass
CPP_155,partial pass
CPP_156,partial pass
CPP_157,pass
CPP_158,partial pass
CPP_159,pass
CPP_160,partial pass
CPP_161,partial pass
CPP_162,partial pass
CPP_163,pass
