CPP_number,Result
CPP_0,partial pass
CPP_1,partial pass
CPP_2,partial pass
CPP_3,partial pass
CPP_4,fail
CPP_5,partial pass
CPP_6,fail
CPP_7,partial pass
CPP_8,fail
CPP_9,fail
CPP_10,partial pass
CPP_11,fail
CPP_12,partial pass
CPP_13,partial pass
CPP_14,partial pass
CPP_15,fail
CPP_16,fail
CPP_17,fail
CPP_18,partial pass
CPP_19,partial pass
CPP_20,fail
CPP_21,fail
CPP_22,partial pass
CPP_23,partial pass
CPP_24,partial pass
CPP_25,partial pass
CPP_26,partial pass
CPP_27,fail
CPP_28,pass
CPP_29,pass
CPP_30,partial pass
CPP_31,partial pass
CPP_32,pass
CPP_33,partial pass
CPP_34,partial pass
CPP_35,partial pass
CPP_36,fail
CPP_37,partial pass
CPP_38,pass
CPP_39,fail
CPP_40,partial pass
CPP_41,pass
CPP_42,partial pass
CPP_43,partial pass
CPP_44,fail
CPP_45,partial pass
CPP_46,fail
CPP_47,partial pass
CPP_48,partial pass
CPP_49,partial pass
CPP_50,pass
CPP_51,partial pass
CPP_52,partial pass
CPP_53,partial pass
CPP_54,partial pass
CPP_55,fail
CPP_56,partial pass
CPP_57,partial pass
CPP_58,partial pass
CPP_59,fail
CPP_60,partial pass
CPP_61,partial pass
CPP_62,fail
CPP_63,fail
CPP_64,partial pass
CPP_65,partial pass
CPP_66,partial pass
CPP_67,fail
CPP_68,partial pass
CPP_69,partial pass
CPP_70,partial pass
CPP_71,partial pass
CPP_72,partial pass
CPP_73,partial pass
CPP_74,fail
CPP_75,partial pass
CPP_76,partial pass
CPP_77,partial pass
CPP_78,fail
CPP_79,fail
CPP_80,fail
CPP_81,partial pass
CPP_82,partial pass
CPP_83,partial pass
CPP_84,fail
CPP_85,partial pass
CPP_86,partial pass
CPP_87,partial pass
CPP_88,partial pass
CPP_89,fail
CPP_90,partial pass
CPP_91,fail
CPP_92,fail
CPP_93,partial pass
CPP_94,partial pass
CPP_95,partial pass
CPP_96,fail
CPP_97,partial pass
CPP_98,partial pass
CPP_99,pass
CPP_100,fail
CPP_101,partial pass
CPP_102,partial pass
CPP_103,fail
CPP_104,partial pass
CPP_105,partial pass
CPP_106,fail
CPP_107,fail
CPP_108,partial pass
CPP_109,partial pass
CPP_110,partial pass
CPP_111,partial pass
CPP_112,partial pass
CPP_113,partial pass
CPP_114,partial pass
CPP_115,fail
CPP_116,partial pass
CPP_117,partial pass
CPP_118,fail
CPP_119,partial pass
CPP_120,partial pass
CPP_121,partial pass
CPP_122,fail
CPP_123,partial pass
CPP_124,partial pass
CPP_125,partial pass
CPP_126,partial pass
CPP_127,fail
CPP_128,partial pass
CPP_129,partial pass
CPP_130,fail
CPP_131,partial pass
CPP_132,partial pass
CPP_133,partial pass
CPP_134,partial pass
CPP_135,partial pass
CPP_136,partial pass
CPP_137,partial pass
CPP_138,partial pass
CPP_139,partial pass
CPP_140,partial pass
CPP_141,partial pass
CPP_142,partial pass
CPP_143,fail
CPP_144,partial pass
CPP_145,partial pass
CPP_146,partial pass
CPP_147,partial pass
CPP_148,partial pass
CPP_149,partial pass
CPP_150,partial pass
CPP_151,partial pass
CPP_152,partial pass
CPP_153,partial pass
CPP_154,partial pass
CPP_155,fail
CPP_156,partial pass
CPP_157,partial pass
CPP_158,partial pass
CPP_159,fail
CPP_160,fail
CPP_161,partial pass
CPP_162,fail
CPP_163,fail
