CPP_number,Result
CPP_0,partial pass
CPP_1,partial pass
CPP_2,partial pass
CPP_3,pass
CPP_4,pass
CPP_5,pass
CPP_6,partial pass
CPP_7,pass
CPP_8,pass
CPP_9,pass
CPP_10,pass
CPP_11,pass
CPP_12,pass
CPP_13,pass
CPP_14,pass
CPP_15,pass
CPP_16,pass
CPP_17,pass
CPP_18,pass
CPP_19,pass
CPP_20,pass
CPP_21,pass
CPP_22,pass
CPP_23,pass
CPP_24,pass
CPP_25,partial pass
CPP_26,pass
CPP_27,partial pass
CPP_28,pass
CPP_29,pass
CPP_30,pass
CPP_31,partial pass
CPP_32,pass
CPP_33,pass
CPP_34,pass
CPP_35,pass
CPP_36,partial pass
CPP_37,pass
CPP_38,pass
CPP_39,partial pass
CPP_40,pass
CPP_41,pass
CPP_42,pass
CPP_43,pass
CPP_44,partial pass
CPP_45,pass
CPP_46,pass
CPP_47,pass
CPP_48,pass
CPP_49,partial pass
CPP_50,pass
CPP_51,pass
CPP_52,pass
CPP_53,pass
CPP_54,pass
CPP_55,partial pass
CPP_56,partial pass
CPP_57,pass
CPP_58,pass
CPP_59,pass
CPP_60,pass
CPP_61,partial pass
CPP_62,pass
CPP_63,pass
CPP_64,pass
CPP_65,pass
CPP_66,pass
CPP_67,pass
CPP_68,pass
CPP_69,pass
CPP_70,pass
CPP_71,pass
CPP_72,pass
CPP_73,pass
CPP_74,pass
CPP_75,partial pass
CPP_76,partial pass
CPP_77,pass
CPP_78,pass
CPP_79,pass
CPP_80,pass
CPP_81,pass
CPP_82,partial pass
CPP_83,pass
CPP_84,pass
CPP_85,pass
CPP_86,partial pass
CPP_87,pass
CPP_88,pass
CPP_89,partial pass
CPP_90,pass
CPP_91,partial pass
CPP_92,pass
CPP_93,pass
CPP_94,pass
CPP_95,pass
CPP_96,pass
CPP_97,pass
CPP_98,pass
CPP_99,pass
CPP_100,pass
CPP_101,partial pass
CPP_102,pass
CPP_103,pass
CPP_104,pass
CPP_105,pass
CPP_106,pass
CPP_107,pass
CPP_108,pass
CPP_109,pass
CPP_110,pass
CPP_111,pass
CPP_112,pass
CPP_113,pass
CPP_114,partial pass
CPP_115,pass
CPP_116,partial pass
CPP_117,pass
CPP_118,pass
CPP_119,partial pass
CPP_120,pass
CPP_121,pass
CPP_122,pass
CPP_123,pass
CPP_124,pass
CPP_125,pass
CPP_126,pass
CPP_127,pass
CPP_128,pass
CPP_129,pass
CPP_130,partial pass
CPP_131,pass
CPP_132,partial pass
CPP_133,pass
CPP_134,pass
CPP_135,pass
CPP_136,pass
CPP_137,pass
CPP_138,pass
CPP_139,pass
CPP_140,pass
CPP_141,pass
CPP_142,pass
CPP_143,pass
CPP_144,pass
CPP_145,partial pass
CPP_146,pass
CPP_147,partial pass
CPP_148,pass
CPP_149,partial pass
CPP_150,pass
CPP_151,pass
CPP_152,pass
CPP_153,partial pass
CPP_154,pass
CPP_155,pass
CPP_156,pass
CPP_157,pass
CPP_158,pass
CPP_159,pass
CPP_160,pass
CPP_161,partial pass
CPP_162,pass
CPP_163,pass
